,city,Temperature,Latitude,Longitude,Cloudiness,Humidity
0,Paris,16.02,48.85,2.35,10,59
1,jijiga,16.23,9.35,42.8,100,80
2,bridlington,15.31,54.08,-0.19,95,82
3,awjilah,22.53,29.11,21.29,0,49
4,itarema,24.56,-2.92,-39.92,2,80
5,pyaozerskiy,14.2,65.83,31.17,75,93
6,west bay,29.12,19.37,-81.42,20,70
7,ranfurly,4.44,-45.13,170.1,37,56
8,camacupa,8.4,-12.02,17.48,0,53
9,ous,17.54,60.91,61.52,2,68
10,jijiga,16.23,9.35,42.8,100,80
11,bakchar,9.26,57.02,82.07,1,84
12,labuhan,27.11,-6.88,112.21,75,73
13,lulea,11.0,65.58,22.15,100,93
14,jieshi,30.12,22.81,115.83,19,72
15,oxford,13.6,51.75,-1.26,0,76
16,centralia,21.04,46.72,-122.95,0,67
17,cap malheureux,19.44,-19.98,57.61,41,69
18,rognan,9.96,67.1,15.39,100,96
19,innisfail,16.67,-17.53,146.03,99,98
20,malakal,21.0,9.53,31.66,100,97
21,kyrylivka,19.63,46.38,35.37,34,62
22,xique-xique,23.28,-10.82,-42.73,64,61
23,shar,20.29,49.59,81.05,85,50
24,ilmajoki,11.5,62.73,22.57,75,100
25,vodnyy,17.05,63.5,53.41,100,69
26,rovaniemi,15.0,66.5,25.72,20,93
